Project_Key,Project_Name,Department,Classification_Method,Baseline_Year,Baseline_Start_Date,Baseline_End_Date,Planned_Duration_Days,Baseline_IPA_RAG,Baseline_WLC_GBPm,Baseline_FY_Cost_GBPm,Latest_Year,Latest_End_Date,Latest_IPA_RAG,N_Years_Observed,Slippage_Days,Delayed,Label_Method
affordable homes programme,Affordable Homes Programme,DLUHC,Official Category,2020,2021-01-03,2029-04-30,3039.0,Unknown,11609.0,2792.17,2023,2029-04-30,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
affordable homes programme (ahp),Affordable Homes Programme (AHP),MHCLG,Official Category,2024,2021-04-01,,,Amber,12337.0,2792.17,2024,,Amber,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
airport capacity programme,Airport Capacity Programme,DFT,"Keyword Match (pre-2018, no Category field)",2016,2015-07-01,2029-12-31,5297.0,Amber,79.0,14.0,2017,2029-12-31,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
automotive transformation fund,Automotive Transformation Fund,DBT,Official Category,2020,2020-07-31,2025-03-31,1704.0,Unknown,671.0,260.0,2023,2025-03-31,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
beis_0001_1617-q2,BEIS_0001_1617-Q2,BEIS,Official Category,2019,2015-11-25,2021-03-31,1953.0,Amber,375.9,86.6,2019,2021-03-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
bepps2,BEPPS2,DESNZ,Official Category,2020,2017-11-01,2035-06-30,6450.0,Unknown,727.0,27.7,2024,2035-06-30,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
bis_0014_1415-q3,BIS_0014_1415-Q3,BEIS,Official Category,2019,2014-05-01,2022-12-31,3166.0,Amber,1403.0,68.0,2019,2022-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
birmingham 2022 commonwealth games,Birmingham 2022 Commonwealth Games,DCMS,Official Category,2021,2017-12-21,2023-03-31,1926.0,Amber,886.9,111.81,2022,2023-03-31,Amber,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
blythe house programme,Blythe House Programme,DCMS,Official Category,2018,2015-11-25,2023-03-31,2683.0,Amber,338.0,88.75,2023,2024-06-28,Unknown,5,455.0,1.0,Schedule Slippage (>=2 valid annual observations)
boiler upgrade scheme,Boiler Upgrade Scheme,DESNZ,Official Category,2024,2022-04-01,,,Unknown,794.4,160.0,2024,,Unknown,1,,,"Unresolved (no valid End_Date, Amber/Unknown RAG)"
bridgwater barrier,Bridgwater Barrier,DEFRA,Official Category,2021,2014-03-01,2030-12-31,6149.0,Amber/Green,211.08,0.96,2023,2030-12-31,Unknown,3,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
"brighton & sussex university hospitals nhs trust (3ts programme - the development of a leading teaching, trauma and tertiary care centre)","Brighton & Sussex University Hospitals NHS Trust (3Ts Programme - The development of a leading teaching, trauma and tertiary care centre)",DoH,"Keyword Match (pre-2018, no Category field)",2013,2012-01-27,2021-12-24,3619.0,Unknown,500.8,,2014,2021-12-24,Unknown,2,0.0,0.0,Schedule Slippage (>=2 valid annual observations)
brighton mainline upgrade programme,Brighton Mainline Upgrade Programme,DFT,Official Category,2021,2015-06-01,2040-05-01,9101.0,Amber/Red,3995.34,32.0,2021,2040-05-01,Amber/Red,1,,1.0,"RAG Proxy (single valid observation, no slippage comparison possible)"
british museum - energy centre programme (ecp),British Museum - Energy Centre Programme (ECP),DCMS,Official Category,2024,2022-04-01,2029-12-31,2831.0,Unknown,209.0,36.2,2024,2029-12-31,Unknown,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
british museum energy centre programme (ecp),British Museum Energy Centre Programme (ECP),DCMS,Official Category,2020,2022-04-01,2029-12-31,2831.0,Amber,209.0,,2020,2029-12-31,Amber,1,,,"Unresolved (single observation, Amber/Unknown RAG)"
